 0   1.0d0
 2   1.0d0
 4   1.0d0
 6   1.0d0
 8   1.0d0
 10   1.0d0
 12   1.0d0
 14   1.0d0
 16   1.0d0
 18   1.0d0
 20   1.0d0
 22   1.0d0
 24   1.0d0
 26   1.0d0
 28   1.0d0
 30   1.0d0
 32   1.0d0
 34   1.0d0
 36   1.0d0
 38   1.0d0
 40   1.0d0
 42   1.0d0
 44   1.0d0
 46   1.0d0
 48   1.0d0
 50   1.0d0
 52   1.0d0
 54   1.0d0
 56   1.0d0
 58   1.0d0
 60   1.0d0
 62   1.0d0
 64   1.0d0
 66   1.0d0
 68   1.0d0
 70   1.0d0
 72   1.0d0
 74   1.0d0
 76   1.0d0
 78   1.0d0
 80   1.0d0
 82   1.0d0
 84   1.0d0
 86   1.0d0
 88   1.0d0
 90   1.0d0
 92   1.0d0
 94   1.0d0
 96   1.0d0
 98   1.0d0
 100   1.0d0
 102   1.0d0
 104   1.0d0
 106   1.0d0
 108   1.0d0
 110   1.0d0
 112   1.0d0
 114   1.0d0
 116   1.0d0
 118   1.0d0
 120   1.0d0
 122   1.0d0
 124   1.0d0
 126   1.0d0
 128   1.0d0
 130   1.0d0
 132   1.0d0
 134   1.0d0
 136   1.0d0
 138   1.0d0
 140   1.0d0
 142   1.0d0
 144   1.0d0
 146   1.0d0
 148   1.0d0
 150   1.0d0
 152   1.0d0
 154   1.0d0
 156   1.0d0
 158   1.0d0
 160   1.0d0
 162   1.0d0
 164   1.0d0
 166   1.0d0
 168   1.0d0
 170   1.0d0
 172   1.0d0
 174   1.0d0
 176   1.0d0
 178   1.0d0
 180   1.0d0
 182   1.0d0
 184   1.0d0
 186   1.0d0
 188   1.0d0
 190   1.0d0
 192   1.0d0
 194   1.0d0
 196   1.0d0
 198   1.0d0
 200   1.0d0
 202   1.0d0
 204   1.0d0
 206   1.0d0
 208   1.0d0
 210   1.0d0
 212   1.0d0
 214   1.0d0
 216   1.0d0
 218   1.0d0
 220   1.0d0
 222   1.0d0
 224   1.0d0
 226   1.0d0
 228   1.0d0
 230   1.0d0
 232   1.0d0
 234   1.0d0
 236   1.0d0
 238   1.0d0
 240   1.0d0
 242   1.0d0
 244   1.0d0
 246   1.0d0
 248   1.0d0
 250   1.0d0
 252   1.0d0
 254   1.0d0
 256   1.0d0
 258   1.0d0
 260   1.0d0
 262   1.0d0
 264   1.0d0
 266   1.0d0
 268   1.0d0
 270   1.0d0
 272   1.0d0
